Beta (v/c)	 Gamma 
0		 1 
0.001		 1 
0.002		 1 
0.003		 1 
0.004		 1.00001 
0.005		 1.00001 
0.006		 1.00002 
0.007		 1.00002 
0.008		 1.00003 
0.009		 1.00004 
0.01		 1.00005 
0.011		 1.00006 
0.012		 1.00007 
0.013		 1.00008 
0.014		 1.0001 
0.015		 1.00011 
0.016		 1.00013 
0.017		 1.00014 
0.018		 1.00016 
0.019		 1.00018 
0.02		 1.0002 
0.021		 1.00022 
0.022		 1.00024 
0.023		 1.00026 
0.024		 1.00029 
0.025		 1.00031 
0.026		 1.00034 
0.027		 1.00036 
0.028		 1.00039 
0.029		 1.00042 
0.03		 1.00045 
0.031		 1.00048 
0.032		 1.00051 
0.033		 1.00054 
0.034		 1.00058 
0.035		 1.00061 
0.036		 1.00065 
0.037		 1.00069 
0.038		 1.00072 
0.039		 1.00076 
0.04		 1.0008 
0.041		 1.00084 
0.042		 1.00088 
0.043		 1.00093 
0.044		 1.00097 
0.045		 1.00101 
0.046		 1.00106 
0.047		 1.00111 
0.048		 1.00115 
0.049		 1.0012 
0.05		 1.00125 
0.051		 1.0013 
0.052		 1.00135 
0.053		 1.00141 
0.054		 1.00146 
0.055		 1.00152 
0.056		 1.00157 
0.057		 1.00163 
0.058		 1.00169 
0.059		 1.00175 
0.06		 1.0018 
0.061		 1.00187 
0.062		 1.00193 
0.063		 1.00199 
0.064		 1.00205 
0.065		 1.00212 
0.066		 1.00219 
0.067		 1.00225 
0.068		 1.00232 
0.069		 1.00239 
0.07		 1.00246 
0.071		 1.00253 
0.072		 1.0026 
0.073		 1.00268 
0.074		 1.00275 
0.075		 1.00282 
0.076		 1.0029 
0.077		 1.00298 
0.078		 1.00306 
0.079		 1.00314 
0.08		 1.00322 
0.081		 1.0033 
0.082		 1.00338 
0.083		 1.00346 
0.084		 1.00355 
0.085		 1.00363 
0.086		 1.00372 
0.087		 1.00381 
0.088		 1.00389 
0.089		 1.00398 
0.09		 1.00407 
0.091		 1.00417 
0.092		 1.00426 
0.093		 1.00435 
0.094		 1.00445 
0.095		 1.00454 
0.096		 1.00464 
0.097		 1.00474 
0.098		 1.00484 
0.099		 1.00494 
0.1		 1.00504 
0.101		 1.00514 
0.102		 1.00524 
0.103		 1.00535 
0.104		 1.00545 
0.105		 1.00556 
0.106		 1.00567 
0.107		 1.00577 
0.108		 1.00588 
0.109		 1.00599 
0.11		 1.00611 
0.111		 1.00622 
0.112		 1.00633 
0.113		 1.00645 
0.114		 1.00656 
0.115		 1.00668 
0.116		 1.0068 
0.117		 1.00692 
0.118		 1.00704 
0.119		 1.00716 
0.12		 1.00728 
0.121		 1.0074 
0.122		 1.00753 
0.123		 1.00765 
0.124		 1.00778 
0.125		 1.00791 
0.126		 1.00803 
0.127		 1.00816 
0.128		 1.00829 
0.129		 1.00843 
0.13		 1.00856 
0.131		 1.00869 
0.132		 1.00883 
0.133		 1.00896 
0.134		 1.0091 
0.135		 1.00924 
0.136		 1.00938 
0.137		 1.00952 
0.138		 1.00966 
0.139		 1.0098 
0.14		 1.00995 
0.141		 1.01009 
0.142		 1.01024 
0.143		 1.01038 
0.144		 1.01053 
0.145		 1.01068 
0.146		 1.01083 
0.147		 1.01098 
0.148		 1.01114 
0.149		 1.01129 
0.15		 1.01144 
0.151		 1.0116 
0.152		 1.01176 
0.153		 1.01191 
0.154		 1.01207 
0.155		 1.01223 
0.156		 1.01239 
0.157		 1.01256 
0.158		 1.01272 
0.159		 1.01289 
0.16		 1.01305 
0.161		 1.01322 
0.162		 1.01339 
0.163		 1.01356 
0.164		 1.01373 
0.165		 1.0139 
0.166		 1.01407 
0.167		 1.01424 
0.168		 1.01442 
0.169		 1.01459 
0.17		 1.01477 
0.171		 1.01495 
0.172		 1.01513 
0.173		 1.01531 
0.174		 1.01549 
0.175		 1.01567 
0.176		 1.01586 
0.177		 1.01604 
0.178		 1.01623 
0.179		 1.01642 
0.18		 1.0166 
0.181		 1.01679 
0.182		 1.01699 
0.183		 1.01718 
0.184		 1.01737 
0.185		 1.01756 
0.186		 1.01776 
0.187		 1.01796 
0.188		 1.01815 
0.189		 1.01835 
0.19		 1.01855 
0.191		 1.01876 
0.192		 1.01896 
0.193		 1.01916 
0.194		 1.01937 
0.195		 1.01957 
0.196		 1.01978 
0.197		 1.01999 
0.198		 1.0202 
0.199		 1.02041 
0.2		 1.02062 
0.201		 1.02083 
0.202		 1.02105 
0.203		 1.02126 
0.204		 1.02148 
0.205		 1.0217 
0.206		 1.02192 
0.207		 1.02214 
0.208		 1.02236 
0.209		 1.02258 
0.21		 1.02281 
0.211		 1.02303 
0.212		 1.02326 
0.213		 1.02349 
0.214		 1.02372 
0.215		 1.02395 
0.216		 1.02418 
0.217		 1.02441 
0.218		 1.02464 
0.219		 1.02488 
0.22		 1.02512 
0.221		 1.02535 
0.222		 1.02559 
0.223		 1.02583 
0.224		 1.02607 
0.225		 1.02632 
0.226		 1.02656 
0.227		 1.0268 
0.228		 1.02705 
0.229		 1.0273 
0.23		 1.02755 
0.231		 1.0278 
0.232		 1.02805 
0.233		 1.0283 
0.234		 1.02856 
0.235		 1.02881 
0.236		 1.02907 
0.237		 1.02933 
0.238		 1.02958 
0.239		 1.02985 
0.24		 1.03011 
0.241		 1.03037 
0.242		 1.03063 
0.243		 1.0309 
0.244		 1.03117 
0.245		 1.03143 
0.246		 1.0317 
0.247		 1.03198 
0.248		 1.03225 
0.249		 1.03252 
0.25		 1.0328 
0.251		 1.03307 
0.252		 1.03335 
0.253		 1.03363 
0.254		 1.03391 
0.255		 1.03419 
0.256		 1.03447 
0.257		 1.03476 
0.258		 1.03504 
0.259		 1.03533 
0.26		 1.03562 
0.261		 1.03591 
0.262		 1.0362 
0.263		 1.03649 
0.264		 1.03678 
0.265		 1.03708 
0.266		 1.03737 
0.267		 1.03767 
0.268		 1.03797 
0.269		 1.03827 
0.27		 1.03857 
0.271		 1.03888 
0.272		 1.03918 
0.273		 1.03949 
0.274		 1.03979 
0.275		 1.0401 
0.276		 1.04041 
0.277		 1.04072 
0.278		 1.04104 
0.279		 1.04135 
0.28		 1.04167 
0.281		 1.04198 
0.282		 1.0423 
0.283		 1.04262 
0.284		 1.04294 
0.285		 1.04327 
0.286		 1.04359 
0.287		 1.04392 
0.288		 1.04424 
